"name","slug","status","finish"
"DA 1260 rustfri","DA_1260_rustfri","skip","steel"
"DA 2360","DA_2360","skip","steel"
"DA 2390","DA_2390","skip","steel"
"DA 2578","DA_2578","skip","steel"
"DA 2578 EXTA","DA_2578_EXTA","skip","steel"
"DA 2668","DA_2668","skip","steel"
"DA 2698","DA_2698","skip","white"
"DA 2698 EXTA","DA_2698_EXTA","skip","white"
"DA 4208 D Puristic Plus","DA_4208_D_Puristic_Plus","skip","steel"
"DA 4298 W EXTA Puristic Plus","DA_4298_W_EXTA_Puristic_Plus","skip","steel"
"DA 4298 W Puristic Plus","DA_4298_W_Puristic_Plus","ok","steel"
"DA 6698 D Puristic Version 6000","DA_6698_D_Puristic_Version_6000","skip","black"
"DA 6698 W Puristic Edition 6000","DA_6698_W_Puristic_Edition_6000","skip","steel"
"DA 9092 W Screen","DA_9092_W_Screen","skip","black"
"DA 9299 W Screen blbo","DA_9299_W_Screen_blbo","ok","blackboard"
"DAC 2940 Stella","DAC_2940_Stella","skip","matwhite"
"DAC 4240 Stella Ambient","DAC_4240_Stella_Ambient","skip","matwhite"
"DAC 4940 Stella Ambient","DAC_4940_Stella_Ambient","skip","steel"
"DAD 4370 Levantar","DAD_4370_Levantar","skip","black"
"DAD 4841 Black Levantar","DAD_4841_Black_Levantar","skip","black"
"DAD 4870 Levantar","DAD_4870_Levantar","skip","black"
"DAD 4941 Black Levantar","DAD_4941_Black_Levantar","ok","black"
"DAD 4970 Levantar","DAD_4970_Levantar","skip","black"
"DAD 6880 Levantar Ambient","DAD_6880_Levantar_Ambient","skip","black"
"DAD 6980 Levantar Ambient","DAD_6980_Levantar_Ambient","ok","black"
"DAE 1530","DAE_1530","skip","steel"
"DAH 1650 Active","DAH_1650_Active","skip","white"
"DAH 1850 Active","DAH_1850_Active","skip","black"
"DAH 1950 Active","DAH_1950_Active","skip","black"
"DAH 2660 Escala","DAH_2660_Escala","skip","black"
"DAH 2860 Escala","DAH_2860_Escala","skip","black"
"DAH 2960 Escala","DAH_2960_Escala","skip","black"
"DAH 4970 Sienna","DAH_4970_Sienna","skip","black"
"DAH 4980 Sienna","DAH_4980_Sienna","skip","beige"
"DAS 2620","DAS_2620","skip","steel"
"DAS 2620 EXTA","DAS_2620_EXTA","skip","steel"
"DAS 2920","DAS_2920","ok","steel"
"DAS 2920 EXTA","DAS_2920_EXTA","skip","steel"
"DAS 4620","DAS_4620","skip","steel"
"DAS 4630","DAS_4630","skip","black"
"DAS 4920","DAS_4920","skip","steel"
"DAS 4930","DAS_4930","skip","black"
"DAS 8630","DAS_8630","skip","steel"
"DAS 8930","DAS_8930","skip","steel"
"DAW 1620 Active","DAW_1620_Active","ok","steel"
"DAW 1920 Active","DAW_1920_Active","skip","steel"
"PUR 68 W","PUR_68_W","skip","steel"
"PUR 98 D","PUR_98_D","skip","steel"
"PUR 98 W","PUR_98_W","skip","matblack"
