name,status,bytes
M_6012_SC_RUSTFRIT_STAL,FAIL_nozip,0
M_2224_SC_OBSIDIANSORT,FAIL_noobj,0
M_2234_SC_BRILLANTHVID,FAIL_noobj,0
M_2234_SC_OBSIDIANSORT,FAIL_noobj,0
M_2240_SC_OBSIDIANSORT,FAIL_noobj,0
M_7140_TC_CLEAN_STEEL,FAIL_noobj,0
M_7244_TC_CLEAN_STEEL,FAIL_noobj,0
M_7244_TC_BRILLANTHVID,FAIL_noobj,0
M_7244_TC_GRAFITGRA,FAIL_noobj,0
M_7244_TC_OBSIDIANSORT,FAIL_noobj,0
M_2230_SC_OBSIDIANSORT,FAIL_noobj,0
M_7240_TC_CLEAN_STEEL,FAIL_noobj,0
M_2224_SC_OBSIDIANSORT,ok,60892
M_2234_SC_BRILLANTHVID,ok,61052
M_2234_SC_OBSIDIANSORT,ok,61036
M_2240_SC_OBSIDIANSORT,ok,59708
M_7140_TC_CLEAN_STEEL,ok,63020
M_7244_TC_CLEAN_STEEL,ok,63404
M_7244_TC_BRILLANTHVID,ok,62476
M_7244_TC_GRAFITGRA,ok,62476
M_7244_TC_OBSIDIANSORT,ok,62476
M_2230_SC_OBSIDIANSORT,ok,61036
M_7240_TC_CLEAN_STEEL,ok,63404
